,id,price
0,MaOneL2Q,3.37
1,xjNDImrr,2.64
2,YixMwhLh,2.67
3,dXPkLLhN,3.44
4,XmTOo59r,3.78
5,becRD324,4.34
6,WMvdgOYn,3.1
7,XoxlnvRN,3.22
8,MPxL6WGy,2.34
9,T1ACCpFQ,2.74
10,JckO60qi,2.87
11,zEQ2pyXl,1.51
12,mXwLYBlr,2.85
13,viHjhTl2,3.02
14,NdUKA5FI,4.37
15,HIrgveil,2.8
16,YCRWO83r,1.42
17,QzyVHAZy,3.69
18,UFRX84BB,3.3
19,n5Zz6JZe,4.16
20,deszrLev,2.81
21,uYgowOM4,1.68
22,23xxxiJb,2.9
23,xcdQibJv,2.65
24,pJhoGVYD,4.13
25,uOi1vvlq,2.86
26,1hbrCNj0,2.15
27,cPcHQa7p,1.63
28,xQxVGARX,3.65
29,WGYPFo0V,1.75
30,IAhbhLFD,3.04
31,GhzxJM0l,3.88
32,LhkbM3wP,4.25
33,Xn3RHIO0,3.87
34,ajwp1hyv,2.29
35,8OQkcuUc,1.91
36,FgqsLCFe,1.38
37,fSPtfQhV,3.84
38,pGjUrbEY,2.16
39,YboBQfPX,4.48
40,PHimVJNq,2.38
41,ZdTWa6gB,1.63
42,BXFHxPhO,4.32
43,LWTdBKgp,2.56
44,4k5UAwBz,1.43
45,fzRRNHMO,4.55
46,HZCY096q,4.41
47,Cr0PNcD0,3.21
48,bwYCFH8S,1.62
49,GVcs2jIg,4.27
50,e2RQcfOo,2.28
51,4N4dBtLg,2.11
52,EJL2pxue,4.28
53,skXwUp4N,2.32
54,JnYZatCB,2.9
55,f53Ad5T7,4.35
56,6DAAcprx,2.92
57,bO6gv0tU,3.77
58,02wsX1k1,1.47
59,MdQmFBir,1.87
60,71tJOBXX,4.53
61,pdFqTs8w,2.0
62,8BVoXc92,1.55
63,3gVoQxgK,4.34
64,ftsFlE3a,3.45
65,4DBubgwh,3.18
66,d7XcS9A7,4.23
67,bb3gD3Fa,4.15
68,Yz62bq8J,3.97
69,CkbiamRJ,3.03
70,r7ylCF6A,1.55
71,j28lcjGb,4.04
72,Az0UHGLo,3.21
73,X0odkg2f,3.14
74,ze7zzPnz,4.36
75,O0J14IPD,1.78
76,Ti0RezqO,2.32
77,qbXr0MAm,2.01
78,n2F03baD,2.21
79,ajr8BjaX,2.18
80,KYWPOlcp,3.35
81,a2hLYBsI,3.66
82,nqSVVlRf,2.04
83,zRivsB7u,2.09
84,pvxgNYSc,3.11
85,Xn5CiZxo,2.68
86,dfZe36kU,3.01
87,XZiEPEVk,1.86
88,EDQiNP5m,2.29
89,eyoCLGnL,3.23
90,9FHQ9cRK,1.28
91,fcj9F84H,2.57
92,UTmjrJiB,1.2
93,wg9v5wMh,2.7
94,1jOtLmMq,2.58
95,EPLlX7Sn,3.45
96,3TRqyhft,3.31
97,7wYfXuJ2,1.95
98,JHodtPFT,3.74
99,BFOt34AX,3.76
100,etLIAD3a,2.05
101,2lCqyBjE,4.39
102,VgR4Q4k1,4.28
103,nSaqrUAu,3.07
104,s7RAnGaK,4.18
105,PQN5r06D,1.43
106,Gx0sYAfu,1.83
107,KxLTrxib,1.92
108,vb0xVeSN,3.91
109,Z9PIHBJG,3.19
110,hb8Iur9B,2.98
111,5Bxz74BQ,4.22
112,Lhb6kyy0,1.52
113,zFNldlQs,3.3
114,l2VRhwKj,3.21
115,HlQh0FHE,1.48
116,jWyg0mY3,4.03
117,kTuZuvLy,2.61
118,jNdaiY9Y,4.32
119,P1HCzTJm,2.08
120,28mF43Hd,2.56
121,l72w0iuQ,3.32
122,DabnWIPU,1.37
123,gwILZ03s,2.82
124,TwYwgPzx,3.49
125,zgthQxDS,3.28
126,rXulkl1r,2.7
127,rwJJE0aW,2.46
128,QBgmRUXu,3.29
129,05YpdjeA,3.88
130,r6BPGHku,1.4
131,6kG3HQ2n,2.37
132,gvGIWaDF,1.23
133,1fupmC4x,3.85
134,gDKzP4hn,3.59
135,0wID0nx2,3.47
136,8yIMI1rW,1.57
137,of2enBn5,2.16
138,9IfwvsV7,1.67
139,NnjqUIip,3.77
140,AomC6mG9,2.72
141,6rOfN5oy,2.73
142,e1FEjTZ3,2.85
143,W67qJuBH,1.21
144,ygiSJ2X4,2.13
145,tovBaxdM,3.01
146,ZPu1GHui,2.05
147,v8HhCNEu,2.88
148,oQuC5A4E,3.59
149,Rs8InznW,1.52
150,bpWxlM8E,2.0
151,oI2RZjT8,1.65
152,4pkz9NsW,2.36
153,qYZ6qv4K,1.86
154,2PgYbBh1,3.34
155,5Dv8gSXC,1.84
156,wX4sompS,1.22
157,fQNAElsG,1.69
158,ZpRS7bu8,1.8
159,4zsaJGaV,3.72
160,LNCQ5Oye,4.08
161,UNx4g279,3.05
162,JObDCsHu,4.03
163,A8GSWf4H,3.42
164,Kwwbh6eq,1.21
165,cy8apkhl,1.38
166,TktBJdLV,3.84
167,qWfRuMZ6,4.44
168,lFmVL2qx,4.48
169,YDTJ383G,2.51
170,NfN68UH7,3.58
171,FTen1PgC,1.79
172,AtjKdy0I,2.63
173,BorjhOHN,2.83
174,iWeoIICJ,1.66
175,b5nrjD7j,2.53
176,e96L2IQp,4.55
177,5AJzVCAp,1.49
178,74JCvk2k,1.94
179,ysZoVyid,2.57
180,uXcJPGk6,4.47
181,v5SbVKbS,2.41
182,lfPfXrA0,3.89
183,9adgHOdk,3.83
184,jqurQbC9,2.72
185,5mesQmum,4.27
186,K9vU4Fzl,3.7
187,0buJTnYE,4.53
188,3v2P99cS,2.14
189,UjbDzmJb,4.24
190,JgAbWnR1,3.48
191,h5QAipD4,4.25
192,DXH6DCRQ,2.14
193,WTbYJ7qi,3.38
194,F55z3ZVc,4.46
195,eu6K1lZp,4.23
196,EWS8aZ9Y,3.55
197,iAY3H2u0,3.68
198,0db1b48N,2.07
199,Cn1SLUQn,1.28
200,Pr98Vk40,2.3
201,loj7Iasx,1.74
202,3F3Yabsz,2.17
203,ZlzH7L5F,2.93
204,3JwPLtWS,1.27
205,xNTnjqid,2.25
206,o1OGpIG6,3.62
207,aE9jZoXE,2.45
208,H00U1nc1,4.43
209,g1xQ49Bh,2.41
210,DYx32tH4,1.36
211,Ynim1uHm,1.51
